"title","creator","subjects","materialtype","usageclass","checkouts","checkoutmonth","publicationyear"
"A Very Typical Family: A Novel","Sierra Godfrey","Fiction, Literature, Romance","EBOOK","Digital","3","1","2022"
"Careful What You Wish For","Mahtab Narsimhan","Young Adult Fiction, Young Adult Literature","EBOOK","Digital","1","1","2022"
"Sweet Bean Paste: The International Bestseller","Durian Sukegawa","Fiction, Literature","EBOOK","Digital","3","1","2017"
"The Awkward Black Man: Stories","Walter Mosley","Fiction, Literature, Short Stories","EBOOK","Digital","2","1","2020"
"The Royal We (unabridged)","Heather Cocks","Fiction, Literature, Romance","AUDIOBOOK","Digital","4","1","2016"
"The Debutante's Code: Thorndike & Swann Regency Mysteries Series, Book 1 (unabridged)","Erica Vetsch","Fiction, Literature, Romance, Historical Fiction","AUDIOBOOK","Digital","4","1","2022"
"Ishmael: Ishmael Series, Book 1","Daniel Quinn","Fantasy, Fiction, Literature","EBOOK","Digital","5","1","2010"
"Gastroanomalies : questionable culinary creations from the golden age of American cookery / James Lileks.","Lileks, James","Cooking Humor, Cooking","BOOK","Physical","1","1","[2007]"
"Too Hard to Handle","Julie Ann Walker","Fiction, Romance, Suspense","EBOOK","Digital","1","3","2017"
"You Are the Universe: Discovering Your Cosmic Self and Why It Matters","Deepak Chopra, M.D.","Religion & Spirituality, Science, Self-Improvement, Nonfiction","EBOOK","Digital","4","1","2017"
"High Spirits (unabridged)","Carol J. Perry","Fantasy, Fiction, Mystery","AUDIOBOOK","Digital","4","1","2022"
"The Vincent Boys: The Vincent Boys Series, Book 1 (unabridged)","Abbi Glines","Romance, Young Adult Fiction, Young Adult Literature","AUDIOBOOK","Digital","1","1","2014"
"The Rough Guide to Egypt","Dan Richardson","Travel, Nonfiction","EBOOK","Digital","2","1","2011"
"ILLM Grammar for English language teachers * 2nd ed.",,,"BOOK","Physical","1","1",
"Firefly Summer: A Novel","Maeve Binchy","Fiction, Literature","EBOOK","Digital","3","1","2011"
"Hannah's List","Debbie Macomber","Fiction, Romance","EBOOK","Digital","1","1","2010"
"Ripley's Game","Patricia Highsmith","Fiction, Thriller","EBOOK","Digital","2","1","2015"
"Jar of Hearts","Jennifer Hillier","Fiction, Thriller","EBOOK","Digital","5","1","2018"
"Frommer's Italy 2013","Donald Strachan","Travel, Nonfiction","EBOOK","Digital","4","1","2012"
